Country,Population_Total,Current_Health_Expenditure_%GDP,GDP_per_Capita,UNDP_Multidim_Poverty_Ratio_%Pop,Poverty_Ratio_SocialLine_%Pop,Population_Rural,Prevalence of HIV total (% of population ages 15-49),"Incidence of tuberculosis (per 100,000 people) ",Diabetes prevalence (% of population ages 20 to 79),Hospital_beds_1000ppl,Physicians_1000ppl,"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]",Rural land area (sq. km) [AG.LND.TOTL.RU.K2],Surface area (sq. km) [AG.SRF.TOTL.K2]
Israel,8119471.429,7.039473684,35610.8813,..,23.98947368,639919.6667,..,4.866666667,7.95,3.343157895,3.545421053,5.34,19195.22991,22070
Italy,59300803.14,8.707,34733.2027,..,16.28421053,18194522.38,0.255,6.595238095,5.75,3.536111111,3.861263158,10.395,277070.5771,302068.9
Jamaica,2770055.81,5.407712334,5001.91238,2.8,20.73333333,1257545.714,1.37,4.314285714,13.4,1.727777776,0.493375,6.8278,10006.15649,10990
Japan,127127963.4,9.601578947,39424.89045,..,12.9,12782392.14,..,18.03333333,7.15,13.46055556,2.294444444,9.975,316736.2049,377951.1135
Jordan,8558780.238,7.773431176,3574.815553,0.4,14.36666667,1020082.143,0.1,5.8,13.75,1.581052632,2.317384615,3.5138,86673.39544,89157.6
Kazakhstan,17732717.95,3.213157895,8632.755891,0.5,15.22105263,7600387.19,..,117.2857143,7.15,6.617777778,3.798833333,8.6605,2636600.485,2724901.8
Kenya,44707866.67,4.730462288,1324.684593,37.5,44.625,33378277.9,5.305,439.047619,4.55,1.3825,0.183888889,7.9424,579896.1624,580370
Kiribati,113376.9524,11.51789474,1629.494409,19.8,27.4,56149.38095,..,410.1428571,23.7,1.557142857,0.23775,6.7132,907.5566663,810
"Korea, Dem. People's Rep.",25324248.95,..,..,..,..,9850210.667,..,513,8.5,13.75,3.449,8.67015,119025.2203,120540
"Korea, Rep.",50211692.62,6.38518803,26395.0069,..,15.24545455,9271045.048,..,76.76190476,7.15,9.69,2.046833333,5.44,86793.3716,100090.5
Kosovo,1797406.19,..,4008.653856,..,20.35,..,..,..,..,..,..,5.19915,..,..
Kuwait,3446382.714,3.396623813,37437.46975,..,..,0,0.1,25.27142857,22.8,2.285555556,2.118142857,2.05545,16647.65026,17820
Kyrgyz Republic,5907793.119,6.642631579,1072.10284,0.4,24.65,3780829.024,0.155,127.5714286,6.45,4.787368421,2.333538462,6.245,186901.2745,199949.6
Lao PDR,6641498.19,2.752456187,1589.848155,23.1,33.43333333,4499112.286,0.285,202.4761905,4.75,1.244736842,0.342285714,7.78515,228354.3777,236800
Latvia,2047030.286,6.070526316,13954.98143,..,16.88333333,654232.5238,0.495,45.38095238,6.85,6.442777778,3.139277778,14.775,62761.73831,64593.4
Lebanon,5449768.19,7.948515442,6588.222944,..,13.2,658810,0.1,11.50952381,13.8,3.122105263,2.350636364,4.8029,8546.202041,10450
Lesotho,2086487.048,8.838850373,1004.059832,19.6,43.1,1541649.381,23.095,931.9047619,4,1.3,0.189,16.8611,30172.3371,30360
Liberia,4367451.048,9.020622479,560.9782408,52.3,44.96666667,2202226,1.475,294.6666667,2.7,1.072,0.029666667,9.9979,95557.59073,111370
Libya,6479366.048,3.079954493,8956.304324,2,..,1359240.524,0.135,44.52380952,11.25,3.573684211,1.865166667,5.07805,1619018.279,1759540
Liechtenstein,36924.90476,..,150101.8561,..,..,31575.14286,..,..,5.4,..,..,6.665,117.014356,160
Lithuania,3022693.524,6.52,15406.66863,..,16.84444444,990221.7143,0.145,57.52380952,6.8,6.935,4.101,13.96,62585.34796,65294.5
Luxembourg,549323.4286,5.931,109231.9904,..,12.83157895,57378.28571,0.2,7.528571429,5.2,5.164736842,2.730126667,7.37,2247.078424,2590
"Macao SAR, China",587338.0952,..,54881.66527,..,..,0,..,72.66666667,7.5,..,..,3.79465,7.574165477,30.15789474
Madagascar,24286087.52,4.455707863,449.5098564,68.4,78.36666667,15880585.38,0.21,242,4.65,0.336666667,0.166384615,7.5652,588612.8579,587193
Malawi,16321201.76,6.106377928,540.7598065,49.9,68.275,13649663.71,10.04,261.2857143,6.45,1.2,0.039125,10.27405,93702.75745,118480
Malaysia,30140860.29,3.446505697,9052.014017,..,22.9,8155564.857,0.385,85.71428571,15.55,1.911052632,1.319277778,4.9922,318197.5661,330614.95
Maldives,405763.3333,8.786842105,8098.60639,0.8,17.96666667,251392.4762,0.1,39.33333333,9.2,4.090769231,1.621111111,3.13135,259.6535489,300
Mali,17764447.52,4.440895093,694.946244,68.3,44.5,10786790.33,1.225,59.57142857,2,0.273333333,0.093933333,11.26135,1251575.144,1240190
Malta,448767.9524,8.703157895,25691.87858,..,11.69333333,25668.19048,0.155,11.65238095,7.3,5.439444444,2.8113,7.705,150.8971631,320
Marshall Islands,48312.66667,14.86154471,4006.491575,..,20.3,12290.47619,..,424.4761905,22.4,2.715,0.564,6.9651,271.8843642,180
Mauritania,3789597.095,3.211177388,1594.251035,58.4,31.9,1889007.952,0.435,124.7619048,3.2,0.4,0.159857143,8.0318,1045547.794,1030700
Mauritius,1251695.762,4.710111667,8724.106087,..,17.76666667,734296.0476,..,12.33333333,18.7,3.465789474,1.575888889,7.875,1523.755108,2020.35
Mexico,117393338.6,5.737095081,9992.807482,4.1,26.89090909,24882013.57,0.35,22.57142857,16.25,1.025263158,2.115777778,6.1483,1920993.85,1964377.75
"Micronesia, Fed. Sts.",109881.7143,12.13124807,2945.613811,..,33.8,85096.09524,..,145.1904762,15.65,3.28,0.584533333,5.06195,757.7457415,700
Moldova,2783877.333,8.874210526,3052.428947,0.9,18.17222222,1593555.762,0.645,109.047619,4.15,5.84,2.874875,13.4127,31803.71496,33849.5
Monaco,35277.04762,4.333218199,177869.5426,..,..,0,..,1.190952381,5.9,17.30444444,7.36225,9.5,0.034954518,60.3394
Mongolia,2934363.429,4.320910391,3204.194369,7.3,21.5125,968801.381,0.1,431.952381,7,7.416315789,3.0641,6.3668,1549425.131,1564118.775
Montenegro,618769.8095,8.819090909,7052.070075,1.2,24.32,215710.8571,0.1,19.21052632,8.4,3.917777778,2.233210526,10.185,13146.802,13810
Morocco,33710156.1,5.038204319,3099.450184,6.4,25.05,13511740.57,0.1,98.33333333,7.95,0.888823529,0.672666667,5.92565,409515.811,446550
Mozambique,25589812.1,5.87018835,533.2574143,61.9,69.96666667,16867680.33,11.71,355.6190476,3.2,0.786875,0.060333333,10.85855,775002.468,799380
Myanmar,50335645.62,3.420526316,965.586106,38.3,25.85,35410101.57,0.87,454,7.1,0.881666667,0.559846154,9.262,660979.5454,676590
Namibia,2329369.381,9.459853022,4554.559087,40.9,41,1266037.905,12.87,792.7619048,7.25,3,0.47375,10.59965,827174.2883,824290
Nauru,10734.95238,12.32979865,7677.608928,..,24.9,0,..,97.33333333,21.9,3.96,1.103,7.5554,15.05947124,20
Nepal,27679586.86,4.474736842,791.5462904,17.5,33.2,22682431.05,0.17,290.5714286,6.15,0.255789474,0.677125,7.06785,140132.7835,147180
Netherlands,16880679.57,9.994736842,51275.65537,..,9.3,1968441.048,0.189473684,6.147619048,4.9,3.829444444,3.181444444,8.63,26211.90392,41539
New Caledonia,269177.5714,..,32639.73246,..,..,85044.2381,..,18.06190476,16,..,..,5.43,18753.56673,18580
New Zealand,4565690.476,9.119852894,37561.12662,..,..,619458.1429,0.1,7.852380952,7.4,2.684615385,2.789894737,6.8025,270548.6286,267710
Nicaragua,5991891.571,7.607375998,1764.675457,16.5,30.8,2536489.048,0.265,48.66666667,10.15,0.893157893,0.727,4.893,118297.5466,130370
Niger,18875362.05,5.214959746,487.9278815,91,63.41666667,15776179.43,0.355,107,4.7,0.294545455,0.032833333,10.3661,1187981.381,1267000
Nigeria,181466159.2,3.729135237,2008.130896,33,45.16,96553618.29,..,219,4.2,0.5,0.359909091,14.31135,882024.6559,923770
North Macedonia,1925762.143,7.051578947,5403.221187,0.4,26.05454545,814017,0.1,21.52380952,6.9,4.396111111,2.512916667,10.02266824,23681.03685,25710
Northern Mariana Islands,53564.7619,..,18822.71773,..,..,4736.952381,..,80.19047619,23.4,..,..,4.15,477.1777027,460
Norway,5045191.143,9.2235,83085.93364,..,8.311764706,982412.0476,..,5.976190476,4.15,4.223888889,4.257052632,8.295,306188.4558,505087.6945
Oman,3616521.19,3.025274057,19709.47279,..,..,695857.5714,0.1,10.95238095,12.15,1.452222222,1.939277778,2.6757,309151.5535,309500
Pakistan,208667148,2.573061365,1187.556146,38.3,32.7875,133931919.8,0.12,272.6190476,19.35,0.474705882,0.821066667,7.4522,821721.3635,796100
Palau,18360.2381,11.46376545,12639.55519,..,..,4332.666667,..,77.38095238,14.05,5.03,1.5242,8.675,480.9659618,460
Panama,3829468.714,7.55064239,11310.53566,..,27.96315789,1288529.286,0.885,52.76190476,8.8,2.085,1.479470588,4.93755,73613.76711,75375
Papua New Guinea,8285594.905,2.409026196,2063.660702,56.6,46.9,7193802.048,0.77,432,12.15,0.17,0.0572,6.94615,462122.298,462840
Paraguay,6028370.143,6.072227704,4865.547919,4.5,26.99,2396036.952,0.34,44.42857143,7,0.852222222,1.785125,5.73735,396430.5902,406751.3
Peru,30294773.9,4.910122168,5458.101783,6.6,29.825,6979358.476,0.37,135.1428571,5.4,1.50235294,1.337166667,6.56325,1281204.386,1285220
Philippines,101042412.3,4.0895,2508.895892,5.8,32.08571429,54163801.9,0.13,552.2380952,8.4,1.028947368,1.035153846,5.70545,282119.5821,300000
